timestamp,elapsed_sec,blks_hit,blks_read,hit_delta,read_delta,buffer_hit_ratio_pct
1784054688,139,1269730,143212,4421,543,89.06
1784054689,140,1271573,143423,1843,211,89.73
1784054690,141,1277382,144167,5809,744,88.65
1784054691,142,1283358,144917,5976,750,88.85
1784054692,143,1289224,145636,5866,719,89.08
1784054693,144,1294827,146357,5603,721,88.60
1784054694,145,1300531,147086,5704,729,88.67
1784054695,146,1306304,147810,5773,724,88.86
1784054696,147,1312168,148576,5864,766,88.45
1784054697,148,1317685,149314,5517,738,88.20
1784054698,149,1323363,150036,5678,722,88.72
1784054699,150,1329384,150822,6021,786,88.45
1784054700,151,1335358,151569,5974,747,88.89
1784054701,152,1341325,152339,5967,770,88.57
1784054702,153,1347157,153074,5832,735,88.81
1784054703,154,1352686,153795,5529,721,88.46
1784054704,155,1358304,154504,5618,709,88.79
1784054705,156,1363705,155194,5401,690,88.67
1784054706,157,1369322,155908,5617,714,88.72
1784054707,158,1374837,156602,5515,694,88.82
1784054708,159,1380663,157333,5826,731,88.85
1784054709,160,1386471,158117,5808,784,88.11
1784054710,161,1392395,158892,5924,775,88.43
1784054711,162,1398062,159628,5667,736,88.51
1784054712,163,1403614,160344,5552,716,88.58
1784054713,164,1409078,161060,5464,716,88.41
1784054714,165,1414713,161792,5635,732,88.50
1784054715,166,1420313,162478,5600,686,89.09
1784054716,167,1425849,163185,5536,707,88.68
1784054717,168,1431343,163878,5494,693,88.80
1784054718,169,1436913,164589,5570,711,88.68
1784054719,170,1442469,165321,5556,732,88.36
1784054720,171,1447166,165926,4697,605,88.59
1784054721,172,1449273,166188,2107,262,88.94
1784054722,173,1454812,166873,5539,685,88.99
1784054723,174,1459027,167371,4215,498,89.43
1784054724,175,1465967,168307,6940,936,88.12
1784054725,176,1471943,169119,5976,812,88.04
1784054726,177,1480476,170238,8533,1119,88.41
1784054727,178,1486362,171009,5886,771,88.42
1784054728,179,1492071,171803,5709,794,87.79
1784054729,180,1497693,172530,5622,727,88.55
1784054730,181,1503081,173231,5388,701,88.49
1784054731,182,1508566,173929,5485,698,88.71
1784054732,183,1514056,174666,5490,737,88.16
1784054733,184,1519443,175369,5387,703,88.46
1784054734,185,1525215,176158,5772,789,87.97
1784054735,186,1531011,176896,5796,738,88.71
1784054736,187,1538008,177794,6997,898,88.63
1784054737,188,1543712,178511,5704,717,88.83
1784054738,189,1549122,179242,5410,731,88.10
1784054739,190,1554747,179984,5625,742,88.35
1784054740,191,1560197,180701,5450,717,88.37
1784054741,192,1565580,181379,5383,678,88.81
1784054742,193,1571045,182131,5465,752,87.90
1784054743,194,1576794,182895,5749,764,88.27
1784054744,195,1582585,183710,5791,815,87.66
1784054745,196,1588343,184487,5758,777,88.11
1784054746,197,1594121,185252,5778,765,88.31
1784054747,198,1599652,185955,5531,703,88.72
1784054748,199,1605011,186704,5359,749,87.74
1784054749,200,1610450,187401,5439,697,88.64
1784054750,201,1615920,188134,5470,733,88.18
1784054751,202,1621126,188789,5206,655,88.82
1784054752,203,1623852,189140,2726,351,88.59
1784054753,204,1628645,189743,4793,603,88.83
1784054754,205,1634158,190510,5513,767,87.79
1784054755,206,1639607,191236,5449,726,88.24
1784054756,207,1645055,191939,5448,703,88.57
1784054757,208,1650592,192644,5537,705,88.71
1784054758,209,1656039,193360,5447,716,88.38
1784054759,210,1661634,194118,5595,758,88.07
1784054760,211,1668729,195065,7095,947,88.22
1784054761,212,1674601,195883,5872,818,87.77
1784054762,213,1680368,196672,5767,789,87.97
1784054763,214,1686054,197416,5686,744,88.43
1784054764,215,1691651,198109,5597,693,88.98
1784054765,216,1697052,198810,5401,701,88.51
1784054766,217,1702582,199499,5530,689,88.92
1784054767,218,1708119,200248,5537,749,88.08
1784054768,219,1713518,200956,5399,708,88.41
1784054769,220,1719089,201670,5571,714,88.64
1784054770,221,1724683,202438,5594,768,87.93
1784054771,222,1730447,203212,5764,774,88.16
1784054772,223,1736156,203953,5709,741,88.51
1784054773,224,1741576,204687,5420,734,88.07
